item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q4716637,Alex Attwood,Northern Irish politician (born 1959),Q6581097,male,1959-04-26T00:00:00Z,11,,
Q4792148,Arlene Foster,Northern Irish politician (born 1970),Q6581072,female,1970-07-17T00:00:00Z,11,,
Q450673,Bairbre de Brún,Northern Irish politician (born 1954),Q6581072,female,1954-01-10T00:00:00Z,11,,
Q4981853,Bríd Rodgers,Northern Irish politician,Q6581072,female,1935-02-20T00:00:00Z,11,,
Q5017940,Caitríona Ruane,Irish politician and tennis player (born 1962),Q6581072,female,1962-07-19T00:00:00Z,11,,
Q5043280,Carmel Hanna,Northern Irish politician (born 1946),Q6581072,female,1946-03-26T00:00:00Z,11,,
Q5047760,Carál Ní Chuilín,Irish politician (born 1964),Q6581072,female,1964-12-18T00:00:00Z,11,,
Q5106839,Chris Hazzard,Northern Ireland politician,Q6581097,male,1984-08-20T00:00:00Z,11,,
Q17017367,Claire Sugden,British politician (born 1986),Q6581072,female,1986-08-07T00:00:00Z,11,,
Q578710,Conor Murphy,Irish republican politician (born 1963),Q6581097,male,1963-07-10T00:00:00Z,11,,
Q5220512,Danny Kennedy,Northern Irish politician (born 1959),Q6581097,male,1959-07-06T00:00:00Z,11,,
Q5233732,David Ford,Northern Irish politician (born 1951),Q6581097,male,1951-02-24T00:00:00Z,11,,
Q192556,David Trimble,Northern Irish politician,Q6581097,male,1944-10-15T00:00:00Z,11,,
Q24052777,Declan Kearney,Irish politician (born 1964),Q6581097,male,1964-12-19T00:00:00Z,11,,
Q55069282,Deirdre Hargey,politician in Northern Ireland,Q6581072,female,,,,
Q5262833,Dermot Nesbitt,Northern Irish politician (born 1947),Q6581097,male,1947-08-14T00:00:00Z,11,,
Q5346750,Edwin Poots,British politician (born 1965),Q6581097,male,1965-05-27T00:00:00Z,11,,
Q21130106,Gary Middleton,Northern Irish politician,Q6581097,male,1990-06-20T00:00:00Z,11,,
Q5552825,Gerry Kelly,British politician and former IRA volunteer (born 1953),Q6581097,male,1953-04-05T00:00:00Z,11,,
Q20966622,Gordon Lyons,unionist politician in Northern Ireland (born 1986),Q6581097,male,1986-03-06T00:00:00Z,11,,
Q268465,Gregory Campbell,British politician (born 1953),Q6581097,male,1953-02-15T00:00:00Z,11,,
Q296597,Ian Paisley,politician and former church minister (1926-2014),Q6581097,male,1926-04-06T00:00:00Z,11,2014-09-12T00:00:00Z,11
Q300292,Jeffrey Donaldson,British politician (born 1962),Q6581097,male,1962-12-07T00:00:00Z,11,,
Q6198868,Jim Wells,Northern Irish politician (born 1957),Q6581097,male,1957-04-27T00:00:00Z,11,,
Q6250866,John O'Dowd,Irish politician (born 1967),Q6581097,male,1967-05-10T00:00:00Z,11,,
Q6272557,Jonathan Bell,British politician (born 1970),Q6581097,male,1970-03-05T00:00:00Z,11,,
Q501860,Margaret Ritchie,British politician (born 1958),Q6581072,female,1958-03-25T00:00:00Z,11,,
Q302620,Mark Durkan,politician from Northern Ireland (born 1960),Q6581097,male,1960-06-26T00:00:00Z,11,,
Q6767859,Mark H. Durkan,Northern Irish politician (born 1978),Q6581097,male,1978-03-03T00:00:00Z,11,,
Q57689,Martin McGuinness,Irish republican and Sinn Féin politician (1950-2017),Q6581097,male,1950-05-23T00:00:00Z,11,2017-03-21T00:00:00Z,11
Q4992676,Martina Anderson,Irish politician (born 1962),Q6581072,female,1962-04-16T00:00:00Z,11,,
Q1911383,"Maurice Morrow, Baron Morrow",Northern Irish unionist politician (born 1948),Q6581097,male,1948-09-27T00:00:00Z,11,,
Q6820936,Mervyn Storey,British politician (born 1964),Q6581097,male,1964-09-04T00:00:00Z,11,,
Q6832692,Michael McGimpsey,Northern Irish politician (born 1948),Q6581097,male,1948-06-01T00:00:00Z,11,,
Q337970,Michelle Gildernew,Irish politician (born 1970),Q6581072,female,1970-03-28T00:00:00Z,11,,
Q6837153,Michelle McIlveen,British politician (born 1971),Q6581072,female,1971-01-21T00:00:00Z,11,,
Q6837191,Michelle O'Neill,Northern Irish politician,Q6581072,female,1977-01-10T00:00:00Z,11,,
Q13586248,Máirtín Ó Muilleoir,Irish politician (born 1959),Q6581097,male,1959-01-01T00:00:00Z,11,,
Q695272,Naomi Long,Northern Irish politician (born 1971),Q6581072,female,1971-12-13T00:00:00Z,11,,
Q6990642,Nelson McCausland,Northern Irish politician (born 1951),Q6581097,male,1951-08-15T00:00:00Z,11,,
Q17306227,Nichola Mallon,Irish politician,Q6581072,female,1979-08-23T00:00:00Z,11,,
